3300110933	给国人的医学减重指南	陈伟	医学健康-健康
41807120	众神的战争：希腊神话与西方艺术	江逐浪	历史-世界史
26087397	新经销：新零售时代，教你做大商	黄润霖	经济理财-商业
3300067702	大脑的金钱观：做财富世界的聪明决策者	克劳迪娅·哈蒙德	经济理财-理财
3300099035	卡皮巴拉不烦恼	[日]草薙龙瞬  许天小	心理-积极心理学
3300069041	白银帝国：一部新的中国货币史（修订版）	徐瑾	经济理财-财经
3300100494	共塑：西方文化精神的演变	赵林	哲学宗教-西方哲学
3300044057	科学护肤11堂课	珍妮弗·罗克	医学健康-健康
3300062658	士兵如何修理留声机	萨沙·斯坦尼西奇	文学-外国文学
3300144986	洞穴奇案	[美]彼得·萨伯	社会文化-法律
3300081730	不安的哲学	岸见一郎	心理-心理学研究
3300095033	别对企鹅发火	[美]盖比·卡普	个人成长-沟通表达
3300027187	果敢的活法	马克·曼森	个人成长-人生哲学
3300123777	巴拉吉预言：技术、真相和构建未来的指南	[美]埃里克·乔根森	经济理财-管理
35092596	宣传：观念、话语及其正当化	刘海龙	社会文化-社科
933825	无关私己：洞察自我假象下的真相	丹尼尔·厄尔威	心理-心理学应用
3300093532	交房	徐行	文学-文学鉴赏
3300007154	古代人的自由与现代人的自由	贡斯当	政治军事-政治
3300016868	古希腊思想通识课：希罗多德篇	张新刚	哲学宗教-西方哲学
3300095299	审辩式思维：看电影、读小说学习终身成长的思维模式	谢小庆	个人成长-认知思维
3300058701	胡思乱想消除指南：用认知行为策略走出情绪困境	萨拉·埃德尔曼	心理-积极心理学
3300175023	独立思考	[美]朱迪丝·博斯	个人成长-认知思维
3300054563	算法与预言	亚历山德罗·韦斯皮尼亚尼 罗西塔·里塔诺	计算机-人工智能
3300053150	摆脱精神内耗：为什么我们总被内疚、自责和负罪感支配	瓦洛丽·伯顿	心理-心理学应用
3300061953	如何成为艺术家：写给所有人的创作生存指南	杰里·萨尔茨	艺术-理论
3300057713	通胀陷阱	史蒂夫·福布斯   内森·刘易斯   伊丽莎白·埃姆斯 	经济理财-财经
3300034493	征服者：葡萄牙帝国的崛起	[英]罗杰·克劳利 著 陆大鹏 译	历史-世界史
3300102197	不纠结的哲学	[古罗马]塞涅卡 [古罗马]爱比克泰德 [古罗马]奥勒留	哲学宗教-哲学读物
3300034559	妙趣横生的思维公开课：会思考才能领先他人（第4版）	加里·R.柯比 杰弗里·R.古德帕斯特	个人成长-认知思维
3300058260	大狗与肥猫：现代社会的高薪现象	J. R.沙克尔顿	社会文化-社科
3300056389	掌控感：精英都在用的大脑整理术	金炅禄	个人成长-励志成长
3300053609	如何成为团队中不可或缺的人	布鲁斯·图尔甘	社会文化-社科
25983009	自醒：从被动努力到主动进步的转变	凤红邪	个人成长-人生哲学
3300062589	决胜B端：驱动数字化转型的产品经理（第2版）	杨堃	经济理财-管理
3300053440	大量废弃社会：服装与便利店行业不可告人的秘密（译文纪实）	仲村和代 藤田皋月	经济理财-财经
3300085599	韧性：县乡政府如何运行	田先红	政治军事-政治
811644	话语操纵术II	大卫·拜伦 丹尼克·考斯	个人成长-沟通表达
3300043706	半部论语治天下	孙震	政治军事-政治
3300043868	军事里世界史	冷兵器研究所	历史-世界史
3300085396	学会据理力争：自信得体地表达主张，为自己争取更多	[英]乔纳森·赫林	个人成长-沟通表达
3300036782	少干更高效	[日]伊庭正康	个人成长-人在职场
506162	一分钟经理人：时间管理	姚常晓	个人成长-人生哲学
3300070918	金钱星球：钱如何塑造我们的日常	雅各布·戈德斯坦	经济理财-财经
3300152501	聪明人在用的大脑使用书	黄琼珍	个人成长-认知思维
23912410	职场竞争力：一位企业中层管理人员的职场感悟	李发文	个人成长-人在职场
3300048240	让花掉的钱自己流回来	[日]大吾	经济理财-理财
573922	领导梯队：全面打造领导力驱动型公司	查兰	经济理财-管理
3300102559	耶鲁的心理学第一课	安宇敬	心理-心理学研究
3300165254	丹纳赫模式：美的、复星都在学的战略并购与DBS系统	杨益  陈朝巍	经济理财-商业
3300038284	数字肢体语言：线上高效沟通的艺术	[美]埃丽卡·德旺	计算机-人工智能
42849696	读水浒：人性的十三种刻度	押沙龙	文学-文学鉴赏
218753	金刚经修心课：不焦虑的活法	费勇	哲学宗教-宗教
29313399	承诺的策略	托马斯·谢林	政治军事-政治
3300036407	杉木与帝国：早期近代中国的森林革命	孟一衡	历史-历史文化
3300055444	沟通的技巧：故事的魔力	托马斯·皮恰克	经济理财-商业
3300053438	翦商：殷周之变与华夏新生	李硕	历史-中国古代
3300083582	西方货币史	[英] 威廉·亚瑟·肖	历史-世界史
3300062237	富有的方法	乔治•克拉森	经济理财-理财
3300081685	西方艺术史	雅克德比奇  让弗兰索瓦法弗尔	艺术-绘画
31532693	深度共情	斋藤孝	经济理财-管理
3300115122	生意的本质	风中的厂长	经济理财-财经
3300046899	自在	李筱懿	个人成长-情绪心灵
3300049944	3000年人类迁徙史	罗宾·科恩	历史-世界史
3300142156	业务分析：实践指南（第2版）	[美]项目管理协会	经济理财-财经
3300043472	现代死亡：医疗如何改变生命的终点	海德·瓦莱奇	社会文化-社科
35648499	什么是技术	胡翌霖	社会文化-社科
3300049050	动物本能：如何预测一个人十年后的行为？	罗伯特·萨波斯基	科学技术-自然科学
3300100341	技控：向方法要效率	刘春雷  易虹  王琳	经济理财-管理
34921703	步兵崛起：先秦千年步兵进化史	廉震	政治军事-军事
3300066714	人间修行指南：内卷时代的幸福心理课	李文超 徐秋秋	个人成长-人生哲学
3300085601	从报表看企业——数字背后的秘密（第5版）	张新民	经济理财-管理
3300049053	中国绘画史	潘天寿	艺术-绘画
3300174789	广告说服力	[美]斯科特·阿姆斯特朗	经济理财-商业
3300091736	权力与特权：社会分层的理论（甲骨文）	[美]格尔哈特·伦斯基	哲学宗教-西方哲学
3300131255	社交心法	恒洋	个人成长-沟通表达
23839286	决策是如何产生的（珍藏版）	[美]詹姆斯 G. 马奇	经济理财-商业
3300042730	为什么大象不听话：人类行为背后的25个心理学原理	魏知超	心理-认知与行为
3300110059	终局思维——战略决策的新逻辑（如何站在未来看现在+智能汽车产业示例）	刘学	经济理财-财经
3300047464	微小的总和：新精英阶层的消费选择	伊丽莎白·科里德-霍尔基特	经济理财-财经
3300071740	体面人生	黄昱宁	精品小说-社会小说
3300011478	智纲智库作品合集（套装共17册）	智纲智库	经济理财-商业
3300102200	易中天带你读懂中国（套装共5册）	易中天	社会文化-文化
